老田=lão Điền
老汪=lão Uông
老程=lão Trình
老胡=lão Hồ
老叶=lão Diệp
老牛=lão Ngưu
老万=lão Vạn
老耿=lão Cảnh
老岳=lão Nhạc
老谭=lão Đàm
老宣=lão Tuyên
老严=lão Nghiêm
老于=lão Vu
老云=lão Vân
老任=lão Nhậm
老伟=lão Vĩ
老俞=lão Du
老冯=lão Phùng
老凤=lão Phượng
老刁=lão Điêu
老包=lão Bao
老华=lão Hoa
老卫=lão Vệ
老危=lão Nguy
老史=lão Sử
老吕=lão Lữ
老吴=lão Ngô
老周=lão Chu
老唐=lão Đường
老喻=lão Dụ
老奚=lão Hề
老娄=lão Lâu
老孔=lão Khổng
老孙=lão Tôn
老季=lão Quý
老安=lão An
老尤=lão Vưu
老岑=lão Sầm
老席=lão Tịch
老常=lão Thường
老廉=lão Liêm
老张=lão Trương
老强=lão Cường
老彭=lão Bành
老徐=lão Từ
老戚=lão Thích
老方=lão Phương
老施=lão Thi
老昌=lão Xương
老曹=lão Tào
老朱=lão Chu
老李=lão Lý
老杜=lão Đỗ
老杨=lão Dương
老柏=lão Bách
老柳=lão Liễu
老梅=lão Mai
老殷=lão Ân
老毕=lão Tất
老水=lão Thủy
老江=lão Giang
老汤=lão Thang
老沈=lão Thẩm
老潘=lão Phan
老王=lão Vương
老盛=lão Thịnh
老秦=lão Tần
老窦=lão Đậu
老章=lão Chương
老童=lão Đồng
老罗=lão La
老腾=lão Đằng
老花=lão Hoa
老苏=lão Tô
老苗=lão Miêu
老范=lão Phạm
老葛=lão Cát
老蒋=lão Tưởng
老蓝=lão Lam
老薛=lão Tiết
老袁=lão Viên
老褚=lão Chử
老许=lão Hứa
老谢=lão Tạ
老费=lão Phí
老贺=lão Hạ
老贾=lão Giả
老赵=lão Triệu
老邬=lão Ô
老邱=lão Khâu
老邹=lão Trâu
老郑=lão Trịnh
老郝=lão Hác
老郭=lão Quách
老酆=lão Phong
老金=lão Kim
老钱=lão Tiền
老闽=lão Mẫn
老陆=lão Lục
老陈=lão Trần
老陶=lão Đào
老雷=lão Lôi
老韦=lão Vi
老韩=lão Hàn
老顾=lão Cố
老颜=lão Nhan
老马=lão Mã
老骆=lão Lạc
老魏=lão Ngụy
老鲁=lão Lỗ
老鲍=lão Bào
老麻=lão Ma
